রুণু : 1
পশি মেঘনাদ : 1
যথাপ্রহারয়ে সীতাকান্ত : 1
ঊর্ম্মিলাবল্লভে জর : 1
জর ফুলশরে : 1
উভয়ে ধরিলারূপসীরে : 1
আচ্ছন্নিল গগন : 1
সহসাজীমূত শোণিতবিন্দু : 1
পড়িল চৌদিকে : 1
ঘোষিল নির্ঘোষে : 1
ঘন কালমেঘ : 1
দূরে কাঁপিলা : 1
বসুধা দৈত্য : 1
কুল রাজলক্ষ্মী : 1
পূরিলা দেশ : 1
কামমদে মত্ত : 1
এবে উপসুন্দাসুরবলী : 1
সুন্দাসুর পানে : 1
চাহিয়া কহিলারোষে : 1
তুমি স্পর্শ : 1
ভ্রাতৃবধূ তব : 1
বীর সুন্দ : 1
উত্তরিলা বরিনু : 1
কন্যায় আমি : 1
তোমার সম্মুখেএখনি : 1
আমার ভার্য্যা : 1
গুরুজন তব : 1
দেবর বামার : 1
তুমি দেহ : 1
হাত ছাড়ি : 1
যথা প্রজ্বলিত : 1
অগ্নি আহুতি : 1
পাইলেআরো জ্বলে : 1
উপসুন্দ হায় : 1
মন্দমতি মহা : 1
কোপে কহিল : 1
রে অধর্ম : 1
আচারি কুলাঙ্গার : 1
ভ্রাতৃবধূ মাতৃসম : 1
মানি তার : 1
অঙ্গ পরশিস্ : 1
অনঙ্গ পীড়নে : 1
পামর অধর্মচারী : 1
আমি কুলাঙ্গার : 1
ধিক্ তোরে : 1
ধিক্ দুষ্টমতি : 1
পাপি শৃগালের : 1
আশা কেশরীকামিনীসহ : 1
কেলি করিবার : 1
বর্ব্বর এতেক : 1
কহিয়া রোষে : 1
নিষ্কোশিলা অসিসুন্দাসুর : 1
তা দেখিয়া : 1
বীরমদে মাতি : 1
হুহুঙ্কারি নিজ : 1
অস্ত্র ধরিলা : 1
অমনিউপসুন্দ গ্রহ : 1
দেষে বিগ্রহ : 1
প্রয়াসী মাতঙ্গিনী : 1
প্রেম লোভে : 1
কামার্ত্ত যেমতিমাতঙ্গ : 1
যুঝয়ে হায় : 1
গহন কাননেরোষাবেশে : 1
ঘোর রণে : 1
কুক্ষণে রণিলাউভয় : 1
ভুলিয়া মরি : 1
পূর্ব্বকথা যত : 1
তমঃসম জ্ঞান : 1
রবি সতত : 1
আবরে বিপত্তি : 1
দোঁহার অস্ত্রে : 1
ক্ষত দুইজন : 1
তিতি ক্ষিতি : 1
রক্তস্রোতে পড়িলা : 1
ভূতলে কতক্ষণে : 1
সুন্দাসুর চেতন : 1
পাইয়া কাতরে : 1
কহিল চাহি : 1
উপসুন্দ পানে : 1
কি কর্ম : 1
করিনু ভাই : 1
পূর্ব্বকথা ভুলি : 1
করিনু তপঃ : 1
ধাতায় তুষিতে : 1
যুঝিনু দোঁহে : 1
বাসবের সহ : 1
তাহার ফল : 1
ফলিল হে : 1
শেষে বালিবন্ধে : 1
সৌধ হায় : 1
কেন নির্ম্মাইনুএত : 1
যত্নে কাম : 1
মদে রত : 1
সতত এ : 1
গতি তার : 1
দুঃখ ভাই : 1
রহিল এ : 1
মনে রণক্ষেত্রে : 1
শত্রু জিনি : 1
মরিনু অকালে : 1
মরে যথা : 1
মৃগরাজ পড়ি : 1
ব্যাধ ফাঁদে : 1
হায় সুন্দাসুর : 1
বলী বিষাদে : 1
শরীর ত্যাজিলাঅমরারি : 1
যথা মরি : 1
গান্ধারীনন্দন নরশ্রেষ্ঠ : 1
কুরুবংশ ধ্বংস : 1
গণি মনে : 1
যবে ঘোর : 1
নিশাকালে অশ্বথামা : 1
রথীপাণ্ডব শিশুর : 1
শির দিলা : 1
রাজহাতে মহা : 1
শোকে শোকী : 1
তবে উপসুন্দ : 1
বলীকহিলা হে : 1
দৈত্যপতি কিসের : 1
কারণেলুটায় শরীর : 1
তব ধরণীর : 1
তলে উঠ : 1
বীর চল : 1
পুনঃ দলিগে : 1
সমরেঅমর হে : 1
শূরমণি কে : 1
রাখিবে আজিদানব : 1
কুলের মান : 1
উঠিলে হে : 1
অগ্রজ ডাকে : 1
দাস চির : 1
অনুগতউপসুন্দ অল্প : 1
দোষে দেষী : 1
তব পদেকিঙ্কর : 1
ক্ষমিয়া তারে : 1
হে বাসবজয়ী : 1
লয়ে এ : 1
বামারে ভাই : 1
কেলি কর : 1
উঠি এইরূপে : 1
বিলাপিয়া উপসুন্দ : 1
রথী অকালে : 1
কালের হস্তে : 1
